img_id,pedestrian_id,bbox,keypoints,target
12,19,"[626, 4, 193, 468]","[0.39798113014200615, 0.10416917134221335, 2, 0.44084050084035936, 0.0836280580697699, 2, 0.36554701177568494, 0.08410575837843139, 2, 0.5311926877179681, 0.09270436393433794, 2, 0, 0, 0, 0.6113989637305699, 0.17307692307692307, 1, 0.21761658031088082, 0.1858974358974359, 2, 0.9222797927461139, 0.2841880341880342, 2, 0.04145077720207254, 0.30982905982905984, 2, 0.6113989637305699, 0.33974358974358976, 1, 0.14507772020725387, 0.3247863247863248, 1, 0.5751295336787565, 0.4636752136752137, 1, 0.3626943005181347, 0.4700854700854701, 1, 0.5647668393782384, 0.6837606837606838, 1, 0.37305699481865284, 0.6858974358974359, 1]","[0.694300518134715, 0.8814102564102564]"
13,20,"[199, 50, 206, 551]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.46730623411919875, 0.10494085378033356, 2, 0.7621359223300971, 0.21415607985480944, 1, 0.3737864077669903, 0.19056261343012704, 2, 0.8543689320388349, 0.35390199637023595, 1, 0.14563106796116504, 0.3121597096188748, 1, 1.1019417475728155, 0.4355716878402904, 1, -0.0825242718446602, 0.2323049001814882, 1, 0.616504854368932, 0.5063520871143375, 1, 0.4029126213592233, 0.5009074410163339, 1, 0.5436893203883495, 0.7332123411978222, 1, 0.36893203883495146, 0.7332123411978222, 1]","[0.31553398058252424, 0.9029038112522686]"
13,21,"[223, 72, 189, 548]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7070181311697427, 0.10467652565099807, 2, 0.25396825396825395, 0.20802919708029197, 2, 0.7513227513227513, 0.2116788321167883, 2, 0.36507936507936506, 0.3448905109489051, 2, 0.8941798941798942, 0.36496350364963503, 1, 0.6666666666666666, 0.3978102189781022, 2, 1.0740740740740742, 0.4562043795620438, 1, 0.3333333333333333, 0.4908759124087591, 2, 0.6243386243386243, 0.4908759124087591, 2, 0.2751322751322751, 0.7226277372262774, 2, 0.6402116402116402, 0.7372262773722628, 2]","[0.36507936507936506, 0.8859489051094891]"
15,24,"[260, 34, 440, 733]","[0.49770255724750107, 0.1372282003140689, 2, 0, 0, 0, 0, 0, 0, 0.585424468134556, 0.14697951171579296, 2, 0.3718053703262647, 0.14795464285596538, 2, 0.6931818181818182, 0.27694406548431105, 2, 0.2409090909090909, 0.3015006821282401, 2, 0.7840909090909091, 0.4542974079126876, 2, 0.2, 0.5075034106412005, 2, 0.7431818181818182, 0.461118690313779, 2, 0.44545454545454544, 0.5184174624829468, 2, 0.6704545454545454, 0.6084583901773534, 1, 0.3386363636363636, 0.6221009549795361, 2, 0.8931818181818182, 0.5620736698499318, 2, 0.07727272727272727, 0.5798090040927695, 2]","[0.5022727272727273, 0.9693042291950886]"
17,26,"[108, 206, 277, 607]","[0.8272029860843246, 0.14218590927085403, 2, 0.868548539324323, 0.13666364387246308, 2, 0.8272029860843246, 0.11411439349570018, 2, 0, 0, 0, 0.7324107420706698, 0.06119268342778731, 2, 0.48375451263537905, 0.10543657331136738, 2, 0.5595667870036101, 0.15650741350906094, 2, 0.6606498194945848, 0.06919275123558484, 2, 0.8050541516245487, 0.2685337726523888, 2, 0.8375451263537906, 0.12355848434925865, 2, 0.8772563176895307, 0.14991762767710048, 2, 0.22021660649819494, 0.42668863261943984, 2, 0.3140794223826715, 0.4332784184514003, 2, 0.21660649819494585, 0.6836902800658978, 2, 0.2779783393501805, 0.6935749588138386, 2]","[0.1787003610108303, 0.9168039538714992]"
17,27,"[139, 183, 249, 627]","[0.5389065173732708, 0.06530445380949407, 2, 0.5972880076052094, 0.05077057714388396, 2, 0.5545910968385676, 0.055269158016572825, 2, 0, 0, 0, 0, 0, 0, 0.8433734939759037, 0.20733652312599682, 1, 0.46987951807228917, 0.189792663476874, 1, 0.8634538152610441, 0.3349282296650718, 2, 0.39357429718875503, 0.3141945773524721, 1, 0.606425702811245, 0.3237639553429027, 2, 0.15261044176706828, 0.3413078149920255, 1, 0.7590361445783133, 0.4960127591706539, 2, 0.5140562248995983, 0.49760765550239233, 2, 0.7469879518072289, 0.7113237639553429, 2, 0.5542168674698795, 0.7113237639553429, 2]","[0.6686746987951807, 0.9146730462519936]"
18,28,"[45, 50, 457, 748]","[0.6690115005961997, 0.14102891573610477, 2, 0.7016654382593327, 0.10596469309394789, 2, 0.6145882711576449, 0.11321935984749759, 2, 0.7536148845415895, 0.1234968044150263, 2, 0.5334481836310725, 0.14072663795470686, 2, 0.849015317286652, 0.27540106951871657, 2, 0.4617067833698031, 0.2647058823529412, 2, 0.8665207877461707, 0.5494652406417112, 2, 0.3150984682713348, 0.4852941176470588, 1, 0.6914660831509847, 0.5307486631016043, 2, 0.13347921225382933, 0.4786096256684492, 2, 0.8927789934354485, 0.6885026737967914, 2, 0.6608315098468271, 0.7058823529411765, 2, 0.7724288840262582, 0.5949197860962567, 2, 0.5514223194748359, 0.9545454545454546, 2]","[0.7844638949671772, 0.8368983957219251]"
20,30,"[2, 2, 495, 631]","[0.5656295699557141, 0.29823915042199944, 2, 0.6142369451827184, 0.2577736166614285, 2, 0.511566264856291, 0.2647772667353735, 2, 0.6747481674040912, 0.1966862243497975, 2, 0.435183246642427, 0.2009662327283194, 2, 0.7373737373737373, 0.34231378763866877, 2, 0.41414141414141414, 0.23137876386687797, 2, 0.7474747474747475, 0.6465927099841522, 2, 0.1393939393939394, 0.38351822503961963, 2, 0.8121212121212121, 0.838351822503962, 2, 0.09696969696969697, 0.5150554675118859, 2, 0.7393939393939394, 0.7036450079239303, 2, 0.5353535353535354, 0.6640253565768621, 2, 0.36767676767676766, 0.5103011093502378, 2, 0.25656565656565655, 0.4722662440570523, 2]","[0.501010101010101, 0.8090332805071316]"
21,32,"[4, 240, 757, 722]","[0.4257917738898972, 0.19826916423003224, 2, 0.44357303580315804, 0.16311335070766028, 2, 0.39886586299267374, 0.16737466143764476, 2, 0.4781194875203505, 0.14233946089898597, 2, 0.36228726705682285, 0.15352540156519523, 2, 0.583883751651255, 0.23407202216066483, 2, 0.29590488771466317, 0.21745152354570638, 2, 0.7529722589167768, 0.3033240997229917, 2, 0.24174372523117568, 0.17174515235457063, 2, 0.9180977542932629, 0.3545706371191136, 2, 0.15191545574636725, 0.1634349030470914, 2, 0.5944517833553501, 0.518005540166205, 2, 0.4002642007926024, 0.5637119113573407, 2, 0.6974900924702774, 0.6883656509695291, 2, 0.2430647291941876, 0.7770083102493075, 2]","[0.46367239101717306, 0.8961218836565097]"
21,33,"[144, 32, 487, 922]","[0.7937623044773024, 0.1518644105157547, 2, 0.8250460472228841, 0.12195016514782651, 2, 0.7543879386078631, 0.11881629182356739, 2, 0, 0, 0, 0.6648517093705081, 0.09545469067909011, 2, 0.6365503080082136, 0.21691973969631237, 2, 0.5441478439425051, 0.19739696312364424, 2, 0.5441478439425051, 0.3351409978308026, 2, 0.5256673511293635, 0.3600867678958785, 1, 0.6837782340862423, 0.42733188720173537, 1, 0.7802874743326489, 0.4088937093275488, 2, 0.3839835728952772, 0.4750542299349241, 1, 0.24229979466119098, 0.4685466377440347, 2, 0.4989733059548255, 0.6800433839479393, 1, 0.27104722792607805, 0.7039045553145337, 1]","[0.32956878850102667, 0.9126898047722343]"
22,34,"[99, 62, 440, 782]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4304758540894366, 0.1116682293433751, 2, 0.18409090909090908, 0.21227621483375958, 2, 0.5318181818181819, 0.19437340153452684, 2, 0.09772727272727273, 0.309462915601023, 2, 0.725, 0.17135549872122763, 2, 0.125, 0.26214833759590794, 2, 0.8613636363636363, 0.06777493606138107, 2, 0.2340909090909091, 0.5421994884910486, 2, 0.4022727272727273, 0.5383631713554987, 2, 0.26590909090909093, 0.7327365728900256, 2, 0.4681818181818182, 0.7199488491048593, 2]","[0.3431818181818182, 0.9482097186700768]"
22,35,"[107, 48, 437, 795]","[0.5844779105848971, 0.115854925975826, 2, 0.6318148122394749, 0.1000164154851119, 2, 0.5762454059493183, 0.09351131296214006, 2, 0.7084800116583021, 0.11472360379791785, 2, 0, 0, 0, 0.7688787185354691, 0.22138364779874214, 2, 0.45080091533180777, 0.1761006289308176, 1, 0.8443935926773455, 0.3433962264150943, 2, 0.2311212814645309, 0.17358490566037735, 2, 0.8787185354691075, 0.2981132075471698, 2, 0.10297482837528604, 0.15471698113207547, 2, 0.6773455377574371, 0.48553459119496856, 2, 0.5102974828375286, 0.48553459119496856, 1, 0.5995423340961098, 0.6930817610062893, 2, 0.5148741418764302, 0.7081761006289308, 1]","[0.5812356979405034, 0.9371069182389937]"
23,36,"[109, 141, 502, 617]","[0.37944088587203206, 0.13518296937382843, 2, 0.3900226873975135, 0.1007449507949521, 2, 0.3326367637400951, 0.11928849926050092, 2, 0, 0, 0, 0.28868158817271067, 0.14577928278271343, 2, 0.4601593625498008, 0.1685575364667747, 2, 0.35258964143426297, 0.28363047001620745, 2, 0.5617529880478087, 0.1280388978930308, 1, 0.46215139442231074, 0.26904376012965964, 2, 0.6533864541832669, 0.13614262560777957, 1, 0.5876494023904383, 0.1993517017828201, 2, 0.6533864541832669, 0.5640194489465153, 2, 0.5119521912350598, 0.5996758508914101, 2, 0.952191235059761, 0.5753646677471637, 2, 0.29282868525896416, 0.7990275526742301, 2]","[0.44621513944223107, 0.820907617504052]"
23,37,"[140, 91, 484, 667]","[0.5357805255425743, 0.17270805738072867, 2, 0.5666069140553696, 0.14718875220397287, 2, 0.4975731707661521, 0.1459285396026516, 2, 0.6108927116371315, 0.16231130341982816, 2, 0.45806329253144273, 0.17050268532841642, 2, 0.6921487603305785, 0.25037481259370314, 2, 0.3987603305785124, 0.2848575712143928, 1, 0.8119834710743802, 0.4002998500749625, 2, 0.29958677685950413, 0.46776611694152925, 2, 0.8925619834710744, 0.5097451274362819, 2, 0.3739669421487603, 0.46476761619190404, 2, 0.6818181818181818, 0.6131934032983508, 1, 0.46487603305785125, 0.6221889055472264, 1, 0.8574380165289256, 0.7226386806596702, 2, 0.29338842975206614, 0.7841079460269865, 1]","[0.44214876033057854, 0.9737631184407796]"
27,42,"[288, 88, 348, 800]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5457129941892668, 0.08372571117724799, 2, 0, 0, 0, 0.4367816091954023, 0.17375, 2, 0.8505747126436781, 0.21875, 2, 0.06609195402298851, 0.1925, 2, 0.7758620689655172, 0.36125, 2, 0.32471264367816094, 0.13, 1, 0.6206896551724138, 0.2575, 2, 0.5086206896551724, 0.49, 2, 0.7097701149425287, 0.4925, 2, 0.3850574712643678, 0.70625, 2, 0.7931034482758621, 0.71625, 2]","[0.5775862068965517, 0.920625]"
27,43,"[303, 76, 327, 807]","[0.22032935494741263, 0.12286906690375611, 2, 0.2707427026722288, 0.09660486397330233, 2, 0.20832617691769464, 0.09417299333159367, 2, 0.42318306364964847, 0.1058459724117953, 2, 0, 0, 0, 0.6299694189602446, 0.1536555142503098, 1, 0.14678899082568808, 0.2094175960346964, 1, 0.944954128440367, 0.20074349442379183, 2, 0.07951070336391437, 0.36059479553903345, 2, 0.6452599388379205, 0.2218091697645601, 2, 0.3241590214067278, 0.37670384138785623, 2, 0.5504587155963303, 0.4770755885997522, 1, 0.3119266055045872, 0.4795539033457249, 2, 0.581039755351682, 0.7026022304832714, 2, 0.27522935779816515, 0.7063197026022305, 2]","[0.3960244648318043, 0.9374225526641884]"
28,44,"[246, 4, 366, 507]","[0.2635246588283266, 0.1607873850625218, 2, 0.2758985737541621, 0.11806602197924074, 2, 0.20380706940364182, 0.14214533571709004, 2, 0, 0, 0, 0.12687359834301196, 0.15224311244586558, 2, 0.3770491803278688, 0.2465483234714004, 1, 0.06284153005464481, 0.3116370808678501, 2, 0.5792349726775956, 0.40039447731755423, 1, 0.1994535519125683, 0.4319526627218935, 2, 0.8442622950819673, 0.4812623274161736, 1, 0.4016393442622951, 0.47928994082840237, 2, 0.47540983606557374, 0.5029585798816568, 2, 0.2814207650273224, 0.571992110453649, 2, 0.7704918032786885, 0.33530571992110453, 2, 0.6010928961748634, 0.5424063116370809, 2]","[0.5860655737704918, 0.6794871794871795]"
28,45,"[236, 25, 453, 486]","[0.2736107100604358, 0.17059427769867277, 2, 0.2930093178640602, 0.14179794471537763, 2, 0.2772030448388848, 0.14682056093339424, 2, 0, 0, 0, 0, 0, 0, 0.5011037527593819, 0.23045267489711935, 2, 0.37527593818984545, 0.25308641975308643, 2, 0.293598233995585, 0.2777777777777778, 2, 0.2119205298013245, 0.12757201646090535, 1, 0.15011037527593818, 0.16666666666666666, 2, 0.10154525386313466, 0.18930041152263374, 2, 0.6997792494481236, 0.49382716049382713, 2, 0.609271523178808, 0.5246913580246914, 2, 0.7660044150110376, 0.6893004115226338, 2, 0.5938189845474614, 0.5823045267489712, 2]","[0.8289183222958058, 0.8508230452674896]"
30,47,"[235, 98, 313, 542]","[0.738058003680542, 0.07858814145088364, 2, 0.7895807272875747, 0.0672116511992548, 2, 0.7395733779042784, 0.06108584875607001, 2, 0.8744416838168051, 0.10177867927151159, 2, 0, 0, 0, 0.9201277955271565, 0.2066420664206642, 2, 0.6166134185303515, 0.2029520295202952, 2, 0.8306709265175719, 0.3118081180811808, 2, 0.41533546325878595, 0.25092250922509224, 1, 0.6613418530351438, 0.3118081180811808, 2, 0.16932907348242812, 0.2656826568265683, 2, 0.8753993610223643, 0.492619926199262, 2, 0.7092651757188498, 0.503690036900369, 2, 0.805111821086262, 0.6937269372693727, 2, 0.5431309904153354, 0.7011070110701108, 1]","[0.7252396166134185, 0.9308118081180812]"
30,48,"[250, 56, 329, 575]","[0, 0, 0, 0, 0, 0, 0.4550713161427693, 0.09113695195867402, 2, 0, 0, 0, 0.402184904698445, 0.11185862776219974, 2, 0.2613981762917933, 0.1826086956521739, 2, 0.47112462006079026, 0.19304347826086957, 2, 0.4133738601823708, 0.19304347826086957, 2, 0.7416413373860182, 0.21391304347826087, 2, 0.5896656534954408, 0.18782608695652173, 2, 0.8814589665653495, 0.19304347826086957, 2, 0.11550151975683891, 0.5408695652173913, 2, 0.21580547112462006, 0.5304347826086957, 2, 0.23708206686930092, 0.6869565217391305, 2, 0.45592705167173253, 0.7078260869565217, 2]","[0.18541033434650456, 0.9078260869565218]"
32,50,"[155, 115, 311, 833]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5223586496024504, 0.08594038369783043, 2, 0.1864951768488746, 0.1872749099639856, 2, 0.6205787781350482, 0.18967587034813926, 1, 0.3536977491961415, 0.3385354141656663, 2, 0.7652733118971061, 0.3469387755102041, 2, 0.6237942122186495, 0.34933973589435774, 2, 0.9292604501607717, 0.3565426170468187, 2, 0.21221864951768488, 0.49459783913565425, 2, 0.43729903536977494, 0.5042016806722689, 2, 0.15434083601286175, 0.7190876350540216, 2, 0.4405144694533762, 0.7334933973589436, 2]","[0.2652733118971061, 0.9375750300120048]"
33,52,"[1, 38, 528, 734]","[0.7808216693454321, 0.11726011432286787, 2, 0, 0, 0, 0.7448889320704738, 0.09666243147758358, 2, 0, 0, 0, 0.6550570888830782, 0.10029731668557493, 2, 0.7121212121212122, 0.20844686648501362, 2, 0.5871212121212122, 0.18664850136239783, 2, 0.7575757575757576, 0.29427792915531337, 2, 0.6496212121212122, 0.24659400544959129, 2, 0.8087121212121212, 0.3474114441416894, 2, 0.8390151515151515, 0.2888283378746594, 2, 0.5776515151515151, 0.47002724795640327, 1, 0.3352272727272727, 0.4645776566757493, 1, 0.7045454545454546, 0.6839237057220708, 2, 0.2784090909090909, 0.6866485013623979, 2]","[0.293560606060606, 0.8092643051771118]"
35,55,"[41, 49, 424, 873]","[0.5700271833605077, 0.061773047405210134, 2, 0, 0, 0, 0.531893731874173, 0.06653551675136797, 2, 0, 0, 0, 0.4714249730886995, 0.10886857760610441, 2, 0.22641509433962265, 0.17525773195876287, 2, 0.42452830188679247, 0.21534936998854526, 2, 0.07783018867924528, 0.20389461626575028, 2, 0.5707547169811321, 0.38831615120274915, 2, 0.2759433962264151, 0.1466208476517755, 2, 0.8702830188679245, 0.38946162657502864, 2, 0.44339622641509435, 0.5211912943871707, 2, 0.5518867924528302, 0.5074455899198167, 2, 0.5825471698113207, 0.7319587628865979, 2, 0.7028301886792453, 0.7170675830469645, 2]","[0.41273584905660377, 0.9072164948453608]"
35,56,"[95, 1, 620, 915]","[0.2909287555754811, 0.09408023319594867, 2, 0.309570247220429, 0.0788651458771958, 2, 0.2621191775787433, 0.08001345435408283, 2, 0.35151360342156185, 0.0837454569039656, 2, 0, 0, 0, 0.40161290322580645, 0.19672131147540983, 2, 0.18387096774193548, 0.2010928961748634, 2, 0.38064516129032255, 0.34972677595628415, 2, 0.04838709677419355, 0.30273224043715846, 2, 0.47258064516129034, 0.43387978142076505, 1, 0.07741935483870968, 0.23825136612021858, 2, 0.4258064516129032, 0.4994535519125683, 2, 0.3, 0.5278688524590164, 1, 0.6290322580645161, 0.6863387978142077, 2, 0.4096774193548387, 0.7016393442622951, 1]","[0.5282258064516129, 0.9153005464480874]"
36,57,"[130, 24, 475, 865]","[0.4414516391608748, 0.12574357284756174, 2, 0.4840327306024927, 0.10357557726557688, 2, 0.41711958690852163, 0.10327190609322091, 2, 0.5653239051728542, 0.09932418085259347, 2, 0.38504551803041975, 0.08839201864777901, 2, 0.6505263157894737, 0.20115606936416186, 1, 0.37894736842105264, 0.19537572254335261, 2, 0.871578947368421, 0.28208092485549136, 1, 0.25684210526315787, 0.3352601156069364, 2, 0.8442105263157895, 0.19421965317919074, 2, 0.21473684210526317, 0.20578034682080926, 2, 0.5852631578947368, 0.5167630057803468, 1, 0.42526315789473684, 0.5109826589595375, 2, 0.42736842105263156, 0.6890173410404624, 2, 0.4105263157894737, 0.7086705202312139, 2]","[0.5210526315789474, 0.8855491329479769]"
37,58,"[361, 213, 172, 351]","[0.35628751127035163, 0.1480674425700721, 2, 0.40131498994225706, 0.12430540692642798, 2, 0.29913724987908724, 0.11242438910460593, 2, 0, 0, 0, 0.18830037930208923, 0.12260811866616773, 2, 0.31976744186046513, 0.27635327635327633, 2, 0.08139534883720931, 0.23931623931623933, 1, 0.38372093023255816, 0.41595441595441596, 2, 0.1686046511627907, 0.37037037037037035, 1, 0.5058139534883721, 0.5698005698005698, 2, 0.2558139534883721, 0.5071225071225072, 1, 0.4127906976744186, 0.5299145299145299, 2, 0.31976744186046513, 0.5726495726495726, 1, 0.9127906976744186, 0.5612535612535613, 2, 0.5872093023255814, 0.6609686609686609, 1]","[0.7383720930232558, 0.849002849002849]"
38,60,"[177, 17, 322, 562]","[0.5168114667197535, 0.1457558951959589, 2, 0.5561385669343923, 0.12195384341450616, 2, 0.4808077834246616, 0.1194149578911512, 2, 0.612082751746766, 0.11497190822528004, 2, 0.43538775219085346, 0.11179830132108631, 2, 0.6708074534161491, 0.2402135231316726, 1, 0.30434782608695654, 0.22597864768683273, 2, 0.7670807453416149, 0.3790035587188612, 1, 0.09316770186335403, 0.34519572953736655, 2, 0.8478260869565217, 0.46619217081850534, 2, 0.09316770186335403, 0.30782918149466193, 2, 0.577639751552795, 0.5551601423487544, 1, 0.32919254658385094, 0.5409252669039146, 2, 0.5, 0.6690391459074733, 1, 0.11180124223602485, 0.7366548042704626, 2]","[0.30124223602484473, 0.8896797153024911]"
38,61,"[137, 72, 411, 513]","[0.6793895382840299, 0.15011969845410575, 2, 0.689431539901611, 0.11994964973461897, 2, 0.6442425326224964, 0.12655832707317324, 2, 0, 0, 0, 0.5728725925546887, 0.11851298074797675, 2, 0.8175182481751825, 0.1793372319688109, 2, 0.48418491484184917, 0.21832358674463936, 2, 0.9148418491484185, 0.2787524366471735, 2, 0.39659367396593675, 0.3216374269005848, 2, 0.9416058394160584, 0.42105263157894735, 2, 0.3844282238442822, 0.38791423001949316, 2, 0.6545012165450121, 0.5380116959064327, 2, 0.49878345498783455, 0.530214424951267, 2, 0.7396593673965937, 0.6744639376218323, 2, 0.36009732360097324, 0.7153996101364523, 2]","[0.2749391727493917, 0.8586744639376218]"
